Census Tract,Total Population,California County,ZIP,Approximate Location,CES 4.0 Score,Pollution Burden Score,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Unemployment,Housing Burden,Pop. Char. Score,PovertyRate,lapophalfshare,lalowihalfshare,lapop1share,lalowi1share,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LATractsVehicle_20,CVD Risk Level
6083000103,3433,Santa Barbara,93105,Unincorporated Santa Barbara County area,2.76,3.4,17.89,1.56,4.48,1.7,5.5,6,0.81,10.7,100,12.5,95.08,11.98,7.31,66.56,26.1,12,82.6,0,0,1.25,4.05,0,0,0,0,0,0,0,0,Mild
6083001500,2526,Santa Barbara,93108,Unincorporated Santa Barbara County area,2.46,2.48,11.87,0,5.76,2.6,NA,16,0.99,10.7,81.2,13.7,52.81,8.17,9.34,52.53,38.1,9.11,86.6,0,0,3.25,0.99,1,0,0,0,0,0,0,0,Mild
6037262301,2748,Los Angeles,90049,Los Angeles,6.51,5.67,11.25,3.16,6.47,1.6,3.3,8.9,1.15,10.4,100,12.2,97.71,11.92,9.13,64.19,26.6,10.6,72,2.47,0,13.1,1.64,1,0,0,0,0,0,0,0,Mild
6073008501,5969,San Diego,92117,San Diego,5.22,4.21,22.74,2.49,6.19,3.8,1.9,11,1.24,10.5,99.8,22,22.25,4.71,15.1,71.74,13.1,16.9,71.2,0,0,5.85,5.98,1,0,0,0,0,0,0,0,Mild
6057001204,2273,Nevada ,96161,Unincorporated Nevada County area,4,3.22,27.02,3.92,5.46,2.7,NA,NA,1.24,11.8,95.6,12.2,88.52,11.36,6.12,77.52,16.3,6.95,88.7,0,0,1.81,2.51,0,0,0,0,0,0,0,0,Mild
6061020105,1056,Placer ,96140,Unincorporated Placer County area,2.91,2.18,12.21,NA,5.64,1.2,NA,15,1.34,16.7,100,25.8,100,25.84,2.08,63.64,34.2,6.82,86,1.52,2.18,0,3.41,0,0,0,0,0,0,0,0,Mild
6037464100,7121,Los Angeles,91108,San Marino,8.07,5.69,10.66,3.57,5.06,2.3,1.9,7.8,1.42,12.4,84.6,11.1,15.2,2.83,9.41,69.18,21.4,6.67,30.7,0.79,0,58.8,2.98,1,0,0,0,0,1,0,1,Mild
6073017106,4538,San Diego,92067,Rancho Santa Fe,6.4,4.47,9.75,3.77,5.77,1.5,2.7,19,1.43,10.7,98.9,13.8,90.06,12.2,6.41,63.79,29.7,10.6,84.6,0,0,2.75,1.98,1,0,0,0,0,0,0,0,Mild
6061020104,841,Placer ,96145,Unincorporated Placer County area,4.21,2.85,15.89,NA,6.44,0,NA,20,1.48,11.3,100,22.3,98.4,22.12,1.9,56.24,41.8,0,96.6,0,0,0,3.33,0,0,0,0,0,0,0,0,Mild
6059042326,4781,Orange ,92677,Laguna Niguel,5.23,3.32,19.29,3.48,9.11,2.1,2.4,10,1.58,10.2,37.6,4.84,,,10.9,70.4,18.6,12.6,63.5,2.7,0,11.5,9.6,1,0,0,0,0,0,0,0,Mild
6061022200,751,Placer ,96145,Unincorporated Placer County area,5.33,3.32,16.51,NA,6.68,1.2,NA,15,1.6,12.9,36,4.76,4.41,0.54,15.3,62.32,22.3,5.99,93.2,0,0,0,0.8,0,0,0,0,0,0,0,0,Mild
6059075607,6381,Orange ,92782,Tustin,6.48,3.81,16.51,3.41,5.94,3.3,3.1,14,1.7,11.5,88.4,12.8,22.6,1.85,10.1,77.34,12.5,13.5,47,0.14,0,36.2,3.04,1,0,0,0,0,1,0,1,Mild
6081613900,7097,San Mateo,94025,Menlo Park,7.69,4.52,27.42,3.77,7.09,3.9,4,7.6,1.7,10.2,13.2,3.63,,,12.5,73.61,13.8,8.38,58.6,3.78,2.13,21.9,5.1,1,0,0,0,0,0,0,0,Mild
